Name,Story,ImageUrl
:Digimon Adventure,القصة تدور في عام 2020 تحديدًا حول تايتشي ياغامي وهو في الصف الخامس الذي يتجهز لمخيم صيفي في طوكيو. تحدث أعطال في الشبكات مما يحدث خلل في القطار الذي تركبه أمه وأخته هيكاري فيذهب تايتشي لنجدتهما لتعترضه ظاهرة هناك تسحبه إلى العالم الرقمي برفقة الأطفال المختارون.,https://witanime.com/wp-content/uploads/2020/10/Digimon-Adventure-413x559.jpg
!Gamers,"القصة تتحدث حول ""أمانو كيتا"" المهووس بالألعاب وصديقه ""أويهارا تاسوكو""، الذي يعتقدُ أنّ حياته مثاليّة ورئيسة نادي الألعاب الإلكترونية ""كارين تيندو"" و""تشياكي هوشينوموري"" التي تتشاجر مع ""كيتا"" باستمرار.",https://witanime.com/wp-content/uploads/2020/07/Gamers-413x559.jpg
.Itsudatte Bokura no Koi wa 10 cm Datta,"القصة تبدأ بعد أن تلتقي ""ميو ايدا"" بـ""هاروكي سيريزاوا"" في مراسيم دخول الثانوية العليا. ومنذ ذالك الوقت اصبحت نظراتهما تطارد احدهما الاخر. ميو منعزلة بينما هاروكي اجتماعي جداً. وبينما يخطئ الكثير بالظن بانهما مرتبطان عاطفياً والامر ليس كذلك الا انهما اكثر من مجرد اصدقاء.",https://witanime.com/wp-content/uploads/2020/07/Itsudatte-Bokura-No-Koi-Wa-10-Cm-Datta.-413x559.jpg
100-man no Inochi no Ue ni Ore wa Tatteiru,القصة تدور حول يوتسويا يوسوكي وهو طالب في الصف الثامن تم إرساله مع صديقته ذات يوم فجأة إلى عالم آخر حيث يجب عليهما أن يعملا معًا في المعركة من أجل النجاة. يوتسويا شخص وحيد ويحب أن يعمل لوحده دائمًا، كيف سيقوم بفعل ذلك والذي من المفترض أن يكون هو البطل؟!.,https://witanime.com/wp-content/uploads/2020/09/100-man-no-Inochi-no-Ue-ni-Ore-wa-Tatteiru-413x559.jpeg
100-man no Inochi no Ue ni Ore wa Tatteiru 2nd Season,الموسم الثاني من الأنمي.,https://witanime.com/wp-content/uploads/2021/07/100-man-no-Inochi-no-Ue-ni-Ore-wa-Tatteiru-2nd-Season-413x559.jpeg
2.43: Seiin Koukou Danshi Volley-bu,القصة تدور حول طالب ينتقل من مدينة طوكيو إلى محافظة فوكوي بسبب بعض المشاكل الخطيرة في فريق كرة الطائرة للمرحلة المتوسطة..,https://witanime.com/wp-content/uploads/2021/01/2.43-Seiin-High-School-Boys-Volleyball-Team-scaled-413x559.jpg
3-gatsu no Lion,القصة تدور حول لاعب شوغي يُدعى رِي الذي فقد عائلته وهو في عمرٍ صغير ولكنه يخفف من وحدته بلعب الشوغي. تتغير حياته ويدخل الدفء إلى قلبه عندما يُقابل الأخوات كاواموتو الثلاثة.,https://witanime.com/wp-content/uploads/2023/03/3-gatsu-no-Lion-413x559.jpg
3-gatsu no Lion 2nd Season,الموسم الثاني من الأنمي.,https://witanime.com/wp-content/uploads/2023/03/3-gatsu-no-Lion-2nd-Season-413x559.jpg
4-nin wa Sorezore Uso wo Tsuku,أربعة زملاء الدراسة لديهم أسرار خاصة يخفونها عن بعضهم البعض ولكن إلى متى !؟,https://witanime.com/wp-content/uploads/2022/10/4-nin-wa-Sorezore-Uso-wo-Tsuku-413x559.png
86,القصة تدور حول جمهورية سان مانجوليا التي تعرضت للهجوم من قبل جارتها الإمبراطورية. خارج الـ85 منطقة في الجمهورية تقع “منطقة الـ86 الغير موجودة”، هناك يواصل فتيان وفتيات القتال. يدير نوزين شين شبابًا يقومون بتفجيرات انتحارية، في حين تقود فلاديلينا كتيبة من الخلف.,https://witanime.com/wp-content/uploads/2021/04/86-scaled-413x559.jpg
86 2nd Season,تكملة لأحداث الموسم الأول.,https://witanime.com/wp-content/uploads/2021/10/86-2nd-Season-scaled-413x559.jpeg
86 Special Edition: Senya ni Akaku Hinageshi no Saku,حلقة خاصة من انمي 86.,https://witanime.com/wp-content/uploads/2021/06/86-Special-Edition-Senya-ni-Akaku-Hinageshi-no-Saku-scaled-413x559.jpeg
91 Days,القصة تقع أحداثها في العصر المحظور (حضر الكحول في الوليات المتحدة الامركية)، حيث ليس للقانون أي سلطة في منطقة لاوليس و تحكم المافيا شوارع المنطقة و تتنقل الخمور الغير قانونية بكل حرية، ذات مرة عاش أفيليو في تلك المنطقة لكنه اختبأ بعد أن حدث خلاف بين المافيا و بين عائلته أدت لموت العائلة كلها، لاحقًا تلقى أفيليو رسالة من شخص غامض يشجعه على الإنتقام و يجعله يعود إلى لاوليس، و هناك تسلسل إلى عائلة فانيتي و اقترب من نيرو.,https://witanime.com/wp-content/uploads/2021/03/91-Days-413x559.png
"91 Days: Toki no Asase/Subete no Kinou/Ashita, Mata Ashita",الحلقة الخاصة من الانمي وتسمى ايضاً الحلقة رقم 13.,https://witanime.com/wp-content/uploads/2021/03/91-Days-Toki-no-Asase-Subete-no-Kinou-Ashita-Mata-Ashita-413x559.jpg
A3! Season Autumn &amp; Winter,تكملة لأحداث الموسم السابق.,https://witanime.com/wp-content/uploads/2020/09/A3-Season-Autumn-Winter-413x559.jpg
Absolute Duo,القصة تتحدث حول سلاح يدعى بليز وهو سلاح يجسد مظهرا من مظاهر الروح و لكن كان هناك فتى يدعى تورو كوكونوي البليز الخاص به لم يكن سلاحا بل درعا و مع ذلك إنضم لمدرسة تعلم المهارات القتالية و بسبب نظام المدرسة الثنائي إنتهى به المطاف بالسكن مع فتاة جميلة ذات شعر فضي.,https://witanime.com/wp-content/uploads/2021/03/Absolute-Duo-413x559.jpg
ACCA: 13-ku Kansatsu-ka,في مملكة مقسمة الى 13 ولاية وفي كل ولاية توجد العديد من المنظمات تعمل لدى منظمة كبرى تعرف بالـ ACCA وفي هذه المنظمة توجد وحده تدعى وحدة التفتيش تراقب نشاطات المنظمات في جميع انحاء المملكة.,https://witanime.com/wp-content/uploads/2021/08/ACCA-13-ku-Kansatsu-ka-413x559.jpg
ACCA: 13-ku Kansatsu-ka - Regards,أوفا ذات أحداث جانبية بعد قصة الأنمي.,https://witanime.com/wp-content/uploads/2021/08/ACCA-13-ku-Kansatsu-ka-Regards-scaled-413x559.jpg
Aharen-san wa Hakarenai,"اهارين رينا طالبة صغيرة ولطيفة هادئة سيئة للغاية في تحديد المسافة والمساحة الشخصية. أحيانًا تكون على بعد سنتيمترات من وجهك وفي أوقات أخرى على بعد أميال جدًا الشخص الوحيد الذي يحاول فهم سلوكها الغريب هو ماتسوبوشي ريدو الذي يجلس بجانبها في الفصل.
لديه وجه مخيف لكنه في الواقع فتى لطيف لديه خيال يمكن أن يصبح جامحا في بعض الأحيان. يتبع الانمي هذا الثنائي الغريب حيث تبدأ صداقتهما الغريبة في الازدهار عندما يلتقط ريدو ممحاة اهارين من أجلها.",https://witanime.com/wp-content/uploads/2022/04/Aharen-san-wa-Hakarenai-413x559.jpg
Ahiru no Sora,القصة تتحدث عن الفتى القصير الضعيف المنتقل للتو إلى مدرسة جديدة، سورا كوروماتاني الذي يبلغ طوله 149 سم لكنه رغم ذلك يحب كرة السلة، كان يريد أن يغدو أطول كوالدته التي كانت لاعبة كرة سلة، هل سيتمكن سورا من دخول نادري كرة السلة على الرغم من كل المصاعب؟.,https://witanime.com/wp-content/uploads/2020/07/Ahiru-no-Sora-EP-413x559.jpg
